Drift ID,Trip ID,Grid Cell ID,Site (MPA/ REF),Total Angler Hrs,total_fish_caught,cpue,ST_LatDD,ST_LonDD,End_LatDD,End_LonDD,drift_lat,drift_lon
PLR0724250201,PLT03_25,PL02,REF,3,55,18.333333333333332,36.57854843,-121.98387,36.57966995,-121.98318,36.57910919,-121.983525
PLR0724250202,PLT03_25,PL02,REF,3,53,17.666666666666668,36.57881165,-121.9838,36.58066177,-121.98295,36.57973671,-121.983375
PLR0724250203,PLT03_25,PL02,REF,3,53,17.666666666666668,36.57775879,-121.98287,36.58015823,-121.98218,36.57895851,-121.98252500000001
PLR0724250301,PLT03_25,PL03,REF,2.95,30,10.169491525423728,36.57316971,-121.98224,36.57390976,-121.98251,36.573539735,-121.982375
PLR0724250302,PLT03_25,PL03,REF,3,35,11.666666666666666,36.57252884,-121.98096,36.57376099,-121.98094,36.573144915,-121.98095000000001
PLR0724250303,PLT03_25,PL03,REF,1.991666667,24,12.05020920300415,36.57400894,-121.98095000000001,36.57505035,-121.98091,36.574529645,-121.98093
PLR0724250304,PLT03_25,PL03,REF,1.056666667,6,5.678233436694564,36.57490158,-121.9817,36.57543182,-121.98163,36.5751667,-121.98166499999999
PLR0724250401,PLT03_25,PL04,REF,3,35,11.666666666666666,36.5707016,-121.97926,36.57123184,-121.97845,36.57096672,-121.978855
PLR0724250402,PLT03_25,PL04,REF,3.003333333,76,25.30521642900169,36.56959152,-121.98074,36.57038116,-121.98008,36.56998634,-121.98041
PLR0724250403,PLT03_25,PL04,REF,3,51,17,36.56977081,-121.98003,36.57136154,-121.97936,36.570566174999996,-121.97969499999999
PLR0724251501,PLT03_25,PL15,REF,3,50,16.666666666666668,36.47330856,-121.94123,36.47320938,-121.94085,36.47325897,-121.94104
PLR0724251502,PLT03_25,PL15,REF,3,15,5,36.47151947,-121.94159,36.47174072,-121.94142,36.471630094999995,-121.941505
PLR0724251503,PLT03_25,PL15,REF,3,21,7,36.47283936,-121.94034,36.47375107,-121.94035,36.473295215,-121.94034500000001
PLR0812251401,PLT04_25,PL14,REF,2.7,20,7.4074074074074066,36.47645187,-121.94448,36.47576904,-121.94738,36.476110455,-121.94593
PLR0812251402,PLT04_25,PL14,REF,2.293888889,18,7.846936303809787,36.4774704,-121.94547,36.47385025,-121.94496,36.475660325,-121.94521499999999
PLR0812251403,PLT04_25,PL14,REF,2.761111111,14,5.070422535415309,36.47763062,-121.9455,36.47362137,-121.94489,36.475625995,-121.945195
